"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "Properties", "PostCSS", "Rust", "TOML", "SQLite", "comment", "blank", "total"
"c:\bakalaura_darba\blendio-tauri\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\bakalaura_darba\blendio-tauri\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\bakalaura_darba\blendio-tauri\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\bakalaura_darba\blendio-tauri\src-tauri\.env", "Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\bakalaura_darba\blendio-tauri\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 6, 37
"c:\bakalaura_darba\blendio-tauri\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\bakalaura_darba\blendio-tauri\src-tauri\capabilities\create-project-file-popup.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\bakalaura_darba\blendio-tauri\src-tauri\capabilities\default.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\bakalaura_darba\blendio-tauri\src-tauri\capabilities\download-popup.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\bakalaura_darba\blendio-tauri\src-tauri\capabilities\launch-blender-popup.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\bakalaura_darba\blendio-tauri\src-tauri\capabilities\launch-project-file-popup.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250427133325_init.down.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250427133325_init.up.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 5, 5, 60
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250503124439_add_index_to_project_file.down.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250503124439_add_index_to_project_file.up.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250504092442_add_index_to_python_scripts.down.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250504092442_add_index_to_python_scripts.up.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250504172200_add_index_to_installed_blender_versions.down.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\bakalaura_darba\blendio-tauri\src-tauri\migrations\20250504172200_add_index_to_installed_blender_versions.up.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\blender_version\commands.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1015, 0, 0, 218, 15, 1248
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\blender_version\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\db_repo\blender_repo_path_repo.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 3, 7, 82
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\db_repo\installed_blender_version_repo.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 3, 7, 92
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\db_repo\launch_argument_repo.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 3, 7, 85
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\db_repo\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\bakalaura_darba\blendio-tauri\src-tauri\src\db_repo\project_fiile_repo.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 3, 7, 83
